time,0
2020_05_04,"[[1.1737810e+07 1.3760000e+03 2.3947000e+04 3.0623000e+04 2.9790000e+03]
 [1.5060000e+03 6.1013200e+06 1.1330000e+03 2.6774000e+04 2.6650000e+03]
 [1.7447000e+04 1.6510000e+03 3.5042180e+06 1.1866600e+05 1.0460000e+03]
 [2.7106000e+04 2.6951000e+04 6.9792000e+04 5.2201545e+07 1.4505000e+04]
 [3.1020000e+03 2.1640000e+03 9.3800000e+02 1.1815000e+04 1.4057579e+07]]"
2020_05_05,"[[1.1876453e+07 1.8030000e+03 2.6210000e+04 3.1358000e+04 3.5320000e+03]
 [1.6070000e+03 6.0455410e+06 1.1350000e+03 2.7250000e+04 2.2450000e+03]
 [1.8019000e+04 1.6290000e+03 3.5316150e+06 1.1331100e+05 9.0700000e+02]
 [2.6927000e+04 2.8813000e+04 7.2053000e+04 5.2610917e+07 1.3980000e+04]
 [3.7950000e+03 2.2300000e+03 1.1870000e+03 1.2898000e+04 1.3597348e+07]]"
2020_05_06,"[[1.1848102e+07 1.3360000e+03 2.5787000e+04 3.3436000e+04 3.3410000e+03]
 [1.4850000e+03 6.1301100e+06 1.5350000e+03 2.7380000e+04 3.0710000e+03]
 [1.9351000e+04 1.4760000e+03 3.4764220e+06 1.1404300e+05 1.1350000e+03]
 [2.6433000e+04 3.0063000e+04 7.5448000e+04 5.3551017e+07 1.6264000e+04]
 [3.3870000e+03 2.3640000e+03 1.4820000e+03 2.0765000e+04 1.3715020e+07]]"
2020_05_07,"[[1.1962530e+07 1.3470000e+03 2.8460000e+04 3.4860000e+04 3.5170000e+03]
 [1.5640000e+03 6.3106980e+06 1.1920000e+03 2.8252000e+04 3.6670000e+03]
 [1.9706000e+04 1.7090000e+03 3.5638170e+06 1.2251200e+05 1.3160000e+03]
 [2.8135000e+04 3.1991000e+04 7.6074000e+04 5.4155107e+07 1.7495000e+04]
 [4.0050000e+03 2.4780000e+03 1.4540000e+03 2.5649000e+04 1.4429205e+07]]"
2020_05_08,"[[1.2713280e+07 1.9340000e+03 3.1495000e+04 3.9062000e+04 3.2370000e+03]
 [1.5940000e+03 6.2124040e+06 8.4800000e+02 2.9056000e+04 2.6490000e+03]
 [2.3300000e+04 1.9040000e+03 3.7332140e+06 1.4299300e+05 1.2610000e+03]
 [2.9135000e+04 3.7716000e+04 8.3298000e+04 5.6993956e+07 1.5024000e+04]
 [4.2340000e+03 2.7240000e+03 1.4540000e+03 1.6956000e+04 1.4506619e+07]]"
2020_05_09,"[[1.2578683e+07 1.7530000e+03 3.0218000e+04 4.2553000e+04 3.4690000e+03]
 [1.3360000e+03 6.4165020e+06 9.4700000e+02 2.9299000e+04 2.3740000e+03]
 [2.4875000e+04 1.9080000e+03 3.5527540e+06 1.5241800e+05 1.0230000e+03]
 [2.9614000e+04 4.4052000e+04 8.9866000e+04 5.7716454e+07 1.4977000e+04]
 [4.1130000e+03 3.4030000e+03 1.5100000e+03 1.7053000e+04 1.4434010e+07]]"
2020_05_10,"[[1.1342837e+07 1.7400000e+03 2.6645000e+04 3.4303000e+04 3.5380000e+03]
 [1.3080000e+03 5.8028860e+06 1.1340000e+03 2.6766000e+04 2.3760000e+03]
 [1.9315000e+04 1.8860000e+03 3.2964030e+06 1.2058500e+05 1.5560000e+03]
 [2.8624000e+04 3.9567000e+04 7.8553000e+04 5.2220863e+07 1.4072000e+04]
 [4.0110000e+03 3.5120000e+03 1.7370000e+03 1.5271000e+04 1.3614305e+07]]"
2020_05_11,"[[1.1661119e+07 1.6350000e+03 2.8158000e+04 3.5809000e+04 3.8340000e+03]
 [1.3880000e+03 6.1994600e+06 1.1780000e+03 3.1071000e+04 2.8420000e+03]
 [2.1230000e+04 2.1520000e+03 3.3523950e+06 1.2248800e+05 9.9600000e+02]
 [3.0812000e+04 3.5326000e+04 7.5221000e+04 5.2767554e+07 1.4246000e+04]
 [4.0590000e+03 3.4160000e+03 1.0830000e+03 1.5945000e+04 1.3690030e+07]]"
2020_05_12,"[[1.2279218e+07 2.0590000e+03 3.0966000e+04 3.8915000e+04 4.2140000e+03]
 [1.9080000e+03 6.2680580e+06 1.4530000e+03 3.1349000e+04 3.1020000e+03]
 [2.1909000e+04 2.3700000e+03 3.4998970e+06 1.2379000e+05 1.0810000e+03]
 [3.1197000e+04 3.3670000e+04 7.8220000e+04 5.2257673e+07 1.5138000e+04]
 [4.6640000e+03 3.7050000e+03 1.8060000e+03 1.5338000e+04 1.4175727e+07]]"
2020_05_13,"[[1.2204230e+07 2.0300000e+03 2.9709000e+04 4.0206000e+04 4.2140000e+03]
 [1.7560000e+03 6.3617200e+06 1.6380000e+03 3.1713000e+04 3.5900000e+03]
 [2.2504000e+04 2.3310000e+03 3.5707580e+06 1.2826900e+05 1.2130000e+03]
 [3.1974000e+04 3.3741000e+04 7.9844000e+04 5.4186775e+07 1.8519000e+04]
 [4.6310000e+03 4.5750000e+03 1.3390000e+03 2.1781000e+04 1.4439734e+07]]"
2020_05_14,"[[1.2690080e+07 2.4320000e+03 2.9127000e+04 4.3198000e+04 4.3210000e+03]
 [1.6990000e+03 6.2092210e+06 1.2840000e+03 3.1999000e+04 3.5810000e+03]
 [2.3576000e+04 2.4420000e+03 3.5472830e+06 1.3289600e+05 9.1800000e+02]
 [3.3074000e+04 3.4890000e+04 8.0649000e+04 5.4448057e+07 1.8246000e+04]
 [4.8230000e+03 4.0620000e+03 2.1510000e+03 2.1778000e+04 1.4352407e+07]]"
2020_05_15,"[[1.3285970e+07 1.9780000e+03 3.2657000e+04 4.5548000e+04 4.2510000e+03]
 [1.6620000e+03 6.6367030e+06 1.6360000e+03 3.1409000e+04 3.7930000e+03]
 [2.5023000e+04 2.3890000e+03 3.7585120e+06 1.5673600e+05 1.1470000e+03]
 [3.6234000e+04 4.1373000e+04 8.6027000e+04 5.6205215e+07 2.0078000e+04]
 [5.3710000e+03 4.6270000e+03 1.6720000e+03 2.1447000e+04 1.5445111e+07]]"
2020_05_16,"[[1.2883353e+07 1.8360000e+03 3.1544000e+04 4.9281000e+04 4.3250000e+03]
 [1.5070000e+03 6.2094190e+06 1.3250000e+03 3.1679000e+04 3.6000000e+03]
 [2.6924000e+04 1.7610000e+03 3.5554110e+06 1.6390200e+05 1.2370000e+03]
 [3.6161000e+04 4.4922000e+04 9.5317000e+04 5.2576453e+07 1.9911000e+04]
 [5.2620000e+03 4.6320000e+03 2.1300000e+03 2.4291000e+04 1.4743375e+07]]"
2020_05_17,"[[1.1408695e+07 1.8250000e+03 2.7756000e+04 4.3311000e+04 4.7870000e+03]
 [1.7880000e+03 5.3491940e+06 1.4260000e+03 2.9309000e+04 3.2890000e+03]
 [2.4367000e+04 1.9570000e+03 3.2476870e+06 1.2449300e+05 1.0800000e+03]
 [3.4994000e+04 3.7234000e+04 8.3908000e+04 5.0927305e+07 1.8153000e+04]
 [4.4000000e+03 4.0830000e+03 2.5340000e+03 2.0101000e+04 1.3332242e+07]]"
2020_05_18,"[[1.2550322e+07 2.2140000e+03 2.9900000e+04 4.2478000e+04 3.9250000e+03]
 [1.6060000e+03 6.2499410e+06 1.4550000e+03 3.0376000e+04 3.2620000e+03]
 [2.4021000e+04 1.9680000e+03 3.5829840e+06 1.3039600e+05 1.0280000e+03]
 [3.5659000e+04 3.5919000e+04 8.3447000e+04 5.5170501e+07 1.7815000e+04]
 [4.6990000e+03 3.3020000e+03 1.9210000e+03 1.6807000e+04 1.3741604e+07]]"
2020_05_19,"[[1.2807949e+07 2.1870000e+03 2.9724000e+04 4.3417000e+04 3.9980000e+03]
 [1.7110000e+03 6.3352150e+06 1.0890000e+03 3.2610000e+04 3.6370000e+03]
 [2.3447000e+04 1.8240000e+03 3.5570810e+06 1.2800400e+05 1.1340000e+03]
 [3.5699000e+04 3.8378000e+04 8.3457000e+04 5.5232123e+07 1.8731000e+04]
 [5.2400000e+03 3.5340000e+03 1.8990000e+03 1.7499000e+04 1.3791210e+07]]"
2020_05_20,"[[1.2916741e+07 2.0770000e+03 3.2707000e+04 4.8610000e+04 3.7680000e+03]
 [1.6080000e+03 6.4309100e+06 1.0630000e+03 3.4619000e+04 4.1910000e+03]
 [2.5099000e+04 2.1270000e+03 3.7055900e+06 1.4132900e+05 9.8500000e+02]
 [3.9108000e+04 4.0994000e+04 8.7432000e+04 5.5988746e+07 2.0356000e+04]
 [4.8760000e+03 4.2670000e+03 2.1940000e+03 1.9175000e+04 1.3994490e+07]]"
2020_05_21,"[[1.3136858e+07 2.2380000e+03 3.4403000e+04 5.0075000e+04 3.7860000e+03]
 [1.6570000e+03 6.5764480e+06 1.1930000e+03 3.5566000e+04 4.2190000e+03]
 [2.8975000e+04 2.5170000e+03 3.7163790e+06 1.5426100e+05 1.0820000e+03]
 [4.0275000e+04 4.4106000e+04 9.4269000e+04 5.6639231e+07 2.0196000e+04]
 [5.1950000e+03 4.6790000e+03 2.1670000e+03 2.4000000e+04 1.4108066e+07]]"
2020_05_22,"[[1.3318143e+07 2.6510000e+03 3.9472000e+04 5.4550000e+04 3.3580000e+03]
 [1.7310000e+03 6.7956900e+06 1.2890000e+03 3.7902000e+04 4.6670000e+03]
 [3.7927000e+04 2.4580000e+03 3.8520600e+06 1.8601700e+05 1.6240000e+03]
 [4.4548000e+04 5.7737000e+04 1.1000300e+05 5.9742012e+07 2.2080000e+04]
 [5.4260000e+03 5.4260000e+03 1.7300000e+03 3.4322000e+04 1.4878795e+07]]"
2020_05_23,"[[1.2701870e+07 2.2970000e+03 4.2154000e+04 5.6990000e+04 4.3930000e+03]
 [1.7260000e+03 6.1012180e+06 1.1250000e+03 4.0665000e+04 4.2150000e+03]
 [3.7412000e+04 1.8860000e+03 3.5002920e+06 1.9254200e+05 1.4540000e+03]
 [4.6585000e+04 6.5678000e+04 1.2281600e+05 5.6118224e+07 2.3364000e+04]
 [5.3740000e+03 5.8400000e+03 1.8830000e+03 3.0343000e+04 1.4481562e+07]]"
2020_05_24,"[[1.1679592e+07 2.2560000e+03 3.9338000e+04 5.5585000e+04 4.1550000e+03]
 [2.1260000e+03 5.6016780e+06 1.3410000e+03 3.7425000e+04 4.2270000e+03]
 [3.6223000e+04 2.0630000e+03 3.2635550e+06 1.6447300e+05 1.3290000e+03]
 [4.2700000e+04 5.7257000e+04 1.1399800e+05 4.9377432e+07 1.9883000e+04]
 [6.0160000e+03 4.6300000e+03 1.9110000e+03 3.1661000e+04 1.3250808e+07]]"
