confirmed_agent_mean_4w,confirmed_agent_mean_8w,confirmed_gt_mean,confirmed_agent_mean_ori,confirmed_agent_mean_det,death_agent_mean_4w,death_agent_mean_8w,death_gt_mean,death_agent_mean_ori,death_agent_mean_det
3303045.667,2972113,3634154,3253528,3183925,75362,69947,71079,74833.66667,73493.33333
3327458.333,2998136,3672702,3279960,3208807.667,75713.33333,70241.25,71498,75185.33333,73829.33333
3351721,3024395,3716616,3306484.333,3233776.333,76062.33333,70535.75,71997,75533,74163.66667
3375911.333,3051212,3763455,3333054,3259173.333,76407.33333,70831,72496,75879,74495
3399671.333,3079077.5,3809256,3360023,3285426.667,76749.33333,71126.75,73003,76223.33333,74824.33333
3423832.667,3107934,3850585,3387535.667,3312227.667,77087.33333,71423.75,73449,76566.33333,75151
3452590,3137241,3889575,3415320.667,3338428.333,77423,71722,73868,76907.66667,75477.66667
3481145,3166580.5,3929320,3442849,3364360,77757,72019.5,74297,77246.66667,75800.66667
3509739.667,3195838.5,3974894,3470431.667,3390277.333,78089.66667,72316.5,74797,77582.66667,76120
3538325,3225721.75,4027899,3498028.333,3416590.333,78419.33333,72614.75,75359,77916,76436.66667
3567265.333,3256204,4085922,3525994.667,3443401,78748.66667,72913,75922,78246,76751.33333
3596583,3288490.5,4147689,3554255,3471317,79075,73212.25,76518,78573.33333,77063.33333
3626747.333,3322266.5,4208171,3583394.333,3500044.667,79403.33333,73512.75,77051,78900,77374.66667
3660107.333,3355879.5,4268168,3612857,3528327.667,79729.66667,73815.75,77533,79226,77687.66667
3693103.333,3388736.75,4329096,3641940.667,3555884,80056,74119,78010,79551.33333,77998
3725797,3421550.75,4394579,3670959.667,3583352.333,80381.33333,74421.75,78622,79874.66667,78306.33333
3758719.667,3454648.75,4465800,3699772,3611024.667,80705.33333,74725.25,79397,80194.33333,78612.33333
3792225.333,3488855.25,4542843,3729055.333,3639232.333,81029.66667,75029.75,80154,80512.33333,78917.66667
3826512.333,3524258.25,4622552,3758379.333,3668140.667,81353.66667,75335.75,80879,80828.33333,79219.33333
3862004.667,3561659.75,4698856,3788664.667,3697995,81678.33333,75643.5,81438,81143.66667,79518.33333
3894903,3599619,4771730,3818998,3726810.667,82004,75953.25,81924,81459.33333,79817.66667
3927421.667,3637781,4843741,3849268.333,3755641.667,82327,76264.25,82473,81772.66667,80115
3959816.667,3676039.25,4920777,3879449.333,3784345,82647,76577,83205,82084,80409
3992115.667,3715052.75,5004542,3909776.667,3813377.333,82965,76891.5,84176,82391.66667,80700.66667
4024790.667,3755067.5,5094324,3940246.333,3842740.333,83280.66667,77207.25,85186,82698,80991
4057791,3797638,5185017,3971136.667,3873443.667,83593,77523.75,86176,83002.66667,81278.66667
4091253.333,3842736,5267207,4002825.667,3904970.667,83905.33333,77844.25,86997,83307.33333,81566.33333
4116389.667,3866471.25,5346999,4035262.333,3935892,84218,78169.5,87658,83610.33333,81853.33333
4140710.333,3886948,5425764,4067659.333,3967206,84525.66667,78487.25,88366,83912.33333,82140
4164393.667,3906727.75,5509142,4100637.333,3999438,84829,78797.25,89265,84212.33333,82428
4187099,3924124.5,5578122,4133875.333,4032110,85127.33333,79101.25,90309,84512.66667,82716.66667
4211683.667,3944827.25,5653573,4167676,4064401.667,85422,79399,91160,84812.33333,83005.66667
4231744,3958419.25,5731533,4200961.333,4098482.667,85712.33333,79689.75,91858,85110.33333,83291.33333
4254068.333,3975070.25,5816287,4236499,4133368,85998.33333,79974,92445,85409.66667,83578.33333
4291459,4002654.75,5891117,4270845.667,4165945.667,86280.33333,80251.75,93081,85709,83865.33333
4329675.667,4032378.5,5966612,4305207,4198075.333,86562.66667,80527.5,93866,86008,84150.66667
4366800.333,4060422,6047994,4338234,4229408.667,86846.33333,80799,94915,86305.33333,84432.33333
4405446.333,4089817.75,6136404,4371892,4261390.333,87131.33333,81069.5,96236,86600.33333,84711.33333
4443568.667,4118087.25,6227549,4405038.333,4293236.333,87416.66667,81337.25,97560,86893.66667,84988.66667
4483617.333,4147266.25,6323195,4438990.667,4326446,87703.33333,81602.5,98845,87183,85263.33333
